TDOA_12,TDOA_13,TDOA_14,Orientation,x,y
0.0002,-0.001,-0.0012,6.12526869094294,2.84440461860717,2.98128332268184
0.0008,0.0017,0.001,4.54252300489219,0.164823681994898,3.651808264124
0.0012,0.0013,0.0001,4.75252796782256,2.31409136912431,2.82427851845796
0.0004,0.0015,0.0012,3.33965439012056,1.90308913641688,1.59733115705897
-0.0006,0.0005,0.001,1.86411312063421,3.60270959930739,0.140698624429431
-0.0005,-0.0016,-0.001,0.766792926096776,2.3825616702462,4.21830064144757
0.0001,-0.0011,-0.0012,6.07042978037564,3.00286964464034,2.32251661213794
-0.001,-0.0016,-0.0005,0.995879880359141,2.77885199692845,2.50474744673058
-0.0012,-0.0014,-0.0002,1.71725322013135,2.11414345545011,4.40528559941887
-0.0005,0.0006,0.0011,2.7332836985561,2.24675633336982,2.31251486650713
0.0012,0.0015,0.0003,4.02788551437525,3.75414653102849,1.3393190966326
-0.0008,-0.0017,-0.0008,0.660917016899241,4.35864175488727,3.28752464115128
0.0004,-0.0008,-0.0012,5.18683231975207,2.83043927475144,0.128056334684123
0.0005,0.0016,0.0012,3.27289492350407,2.54761848764867,1.56773089612548
-0.0004,-0.0016,-0.001,0.0617919825458301,0.97243714304424,0.481659655901043
0.0005,-0.0005,-0.0011,6.08576522548185,2.3875573129449,4.21864385351635
-0.0013,-0.001,0.0002,1.00956559886051,4.30139521281091,0.25607087085382
-0.0003,0.0008,0.0012,3.16847009175837,1.42239564760071,2.90120972711836
-0.0005,-0.0016,-0.001,0.150028243237069,2.35094893710843,1.21272854505667
-0.0007,0.0004,0.001,2.04612291618244,4.86327817238194,1.20239726907812
-0.0007,0.0003,0.001,1.94104847786783,2.66628991837907,0.513973251694644
0.0004,-0.0006,-0.0012,5.91683626351122,1.62367788251035,1.73137520123861
-0.0009,-0.0017,-0.0007,1.04650705879105,1.49954982399808,1.98728739782592
-0.0004,-0.0016,-0.001,0.903752521126674,0.454178518792767,1.32895299199674
0.0012,0.0017,0.0006,4.98578744657686,0.23890883509334,4.03150210276804
-0.0004,0.0008,0.0012,3.33995983214528,1.54449874619353,4.95505088637193
-0.0005,0.0007,0.0011,2.41357421674701,1.71165053860246,0.828896800827746
-0.0002,-0.0014,-0.0012,0.0251516063879683,2.09080698175593,1.55289258613427
-0,0.0013,0.0013,3.60028857578685,1.01926608253818,2.99510932031343
-0.0011,-0.0016,-0.0004,1.88590352247841,0.466993929489296,4.0668810604834
-0.0003,-0.0015,-0.0012,0.0565428280569948,2.46793094418486,1.63564347025658
0.0009,0.0017,0.0009,3.38565725792745,4.33745022164918,1.30182679520911
0.0013,0.0012,-0,4.5833431884077,4.17485973526616,3.04229086982345
0.0007,-0.0002,-0.001,5.46426439537401,4.69779619388561,3.35026631908388
0.0012,0.001,-0.0002,5.34597715566337,0.904452107416476,2.54651517935385
-0.0004,-0.0016,-0.0011,1.02337461066673,0.256701130816055,1.98336096520006
0.0007,-0.0004,-0.001,6.04469112864342,2.29629342098661,4.54386707566031
