Sample:float,Data:float
"1.76664E7","8408.0"
"1.7666401E7","8408.0"
"1.7666402E7","9401.0"
"1.7666403E7","9401.0"
"1.7666404E7","9543.0"
"1.7666405E7","9543.0"
"1.7666406E7","8536.0"
"1.7666407E7","8536.0"
"1.7666408E7","7418.0"
"1.7666409E7","7180.0"
"1.766641E7","7180.0"
"1.7666411E7","7099.0"
"1.7666412E7","7099.0"
"1.7666413E7","8482.0"
"1.7666414E7","8482.0"
"1.7666415E7","8950.0"
"1.7666416E7","8950.0"
"1.7666417E7","9085.0"
"1.7666418E7","8738.0"
"1.7666419E7","8248.0"
"1.766642E7","7710.0"
"1.7666421E7","7710.0"
"1.7666422E7","7159.0"
"1.7666423E7","7159.0"
"1.7666424E7","7178.0"
"1.7666425E7","7178.0"
"1.7666426E7","8517.0"
"1.7666427E7","8517.0"
"1.7666428E7","9111.0"
"1.7666429E7","9268.0"
"1.766643E7","9263.0"
"1.7666431E7","8633.0"
"1.7666432E7","8633.0"
"1.7666433E7","7557.0"
"1.7666434E7","7557.0"
"1.7666435E7","7131.0"
"1.7666436E7","7131.0"
"1.7666437E7","7239.0"
"1.7666438E7","7239.0"
"1.7666439E7","8566.0"
"1.766644E7","8566.0"
"1.7666441E7","8906.0"
"1.7666442E7","8904.0"
"1.7666443E7","8904.0"
"1.7666444E7","8526.0"
"1.7666445E7","8526.0"
"1.7666446E7","7447.0"
"1.7666447E7","7447.0"
"1.7666448E7","7202.0"
"1.7666449E7","7202.0"
"1.766645E7","7293.0"
"1.7666451E7","7997.0"
"1.7666452E7","8731.0"
"1.7666453E7","9084.0"
"1.7666454E7","9084.0"
"1.7666455E7","9381.0"
"1.7666456E7","9381.0"
"1.7666457E7","8811.0"
"1.7666458E7","8811.0"
"1.7666459E7","7508.0"
"1.766646E7","7508.0"
"1.7666461E7","7376.0"
"1.7666462E7","7328.0"
"1.7666463E7","7457.0"
"1.7666464E7","8087.0"
"1.7666465E7","8087.0"
"1.7666466E7","8974.0"
"1.7666467E7","8974.0"
"1.7666468E7","8926.0"
"1.7666469E7","8926.0"
"1.766647E7","8262.0"
"1.7666471E7","8262.0"
"1.7666472E7","6751.0"
"1.7666473E7","6828.0"
"1.7666474E7","6828.0"
"1.7666475E7","6922.0"
"1.7666476E7","7359.0"
"1.7666477E7","8006.0"
"1.7666478E7","8006.0"
"1.7666479E7","9162.0"
"1.766648E7","9162.0"
"1.7666481E7","8878.0"
"1.7666482E7","8878.0"
"1.7666483E7","8477.0"
"1.7666484E7","8477.0"
"1.7666485E7","7129.0"
"1.7666486E7","7083.0"
"1.7666487E7","7249.0"
"1.7666488E7","7276.0"
"1.7666489E7","7276.0"
"1.766649E7","8108.0"
"1.7666491E7","8108.0"
"1.7666492E7","9300.0"
"1.7666493E7","9300.0"
"1.7666494E7","8986.0"
"1.7666495E7","8986.0"
"1.7666496E7","8662.0"
"1.7666497E7","8031.0"
"1.7666498E7","7422.0"
"1.7666499E7","7267.0"
"1.76665E7","7267.0"
"1.7666501E7","7509.0"
"1.7666502E7","7509.0"
"1.7666503E7","7799.0"
"1.7666504E7","7799.0"
"1.7666505E7","8992.0"
"1.7666506E7","8992.0"
"1.7666507E7","8770.0"
"1.7666508E7","9036.0"
"1.7666509E7","9036.0"
"1.766651E7","8327.0"
"1.7666511E7","8327.0"
"1.7666512E7","7205.0"
"1.7666513E7","7205.0"
"1.7666514E7","7254.0"
"1.7666515E7","7254.0"
"1.7666516E7","7139.0"
"1.7666517E7","7139.0"
"1.7666518E7","8121.0"
"1.7666519E7","8644.0"
"1.766652E7","8883.0"
"1.7666521E7","9204.0"
"1.7666522E7","9204.0"
"1.7666523E7","8706.0"
"1.7666524E7","8706.0"
"1.7666525E7","7420.0"
"1.7666526E7","7420.0"
"1.7666527E7","7288.0"
"1.7666528E7","7288.0"
"1.7666529E7","6405.0"
"1.766653E7","6270.0"
"1.7666531E7","6413.0"
"1.7666532E7","6987.0"
"1.7666533E7","6987.0"
"1.7666534E7","8796.0"
"1.7666535E7","8796.0"
"1.7666536E7","9223.0"
"1.7666537E7","9223.0"
"1.7666538E7","7763.0"
"1.7666539E7","7763.0"
"1.766654E7","8312.0"
"1.7666541E7","8593.0"
"1.7666542E7","8593.0"
"1.7666543E7","9915.0"
"1.7666544E7","9915.0"
"1.7666545E7","10648.0"
"1.7666546E7","10648.0"
"1.7666547E7","11468.0"
"1.7666548E7","11468.0"
"1.7666549E7","10857.0"
"1.766655E7","9146.0"
"1.7666551E7","9146.0"
"1.7666552E7","7526.0"
"1.7666553E7","6595.0"
"1.7666554E7","6581.0"
"1.7666555E7","6652.0"
"1.7666556E7","7061.0"
"1.7666557E7","7061.0"
"1.7666558E7","7820.0"
"1.7666559E7","7820.0"
"1.766656E7","8192.0"
